Trial #,	Radius (cm),	Linear Velocity (m/s),	Height (cm),	Angular Velocity (rad/s)
1      ,	1.40       ,	2.91                 ,	50         ,	208.60
2      ,	1.40       ,	3.62                 ,	50         ,	259.50
3      ,	1.40       ,	3.62                 ,	50         ,	259.50
4      ,	1.40       ,	2.31                 ,	50         ,	165.59
5      ,	1.40       ,	3.67                 ,	50         ,	263.08
6      ,	1.40       ,	3.41                 ,	50         ,	244.44
