Trial #,	Radius (cm),	Linear Velocity (m/s),	Height (cm),	Angular Velocity (rad/s)
1      ,	1.69       ,	3.32                 , 	50         ,	196.45
2      ,	1.69       ,	3.18                 , 	50         ,	188.17
3      ,	1.69       ,	2.22                 , 	50         ,	131.36
4      ,	1.69       ,	3.91                 , 	50         ,	227.22
5      ,	1.69       ,	2.85                 , 	50         ,	168.64
6      ,	1.69       ,	3.63                 , 	50         ,	214.79
